figure	function	call	n	run	seconds	bytes
vector	min	min(x)	10000	0	1.26962061528559e-05	102777.600000001
vector	min	min(x)	10000	1	1.2047640927188e-05	102777.600000001
vector	min	min(x)	10000	2	1.15824746085214e-05	102777.600000001
vector	min	min(x)	10000	3	1.12890363573194e-05	102777.600000001
vector	min	min(x)	10000	4	1.13373869782561e-05	102777.600000001
vector	min	min(x)	10000	5	1.11923351154461e-05	102777.600000001
vector	min	min(x)	10000	6	1.10256088363541e-05	102777.600000001
vector	max	max(x)	10000	0	1.26828680505286e-05	98449.6000000015
vector	max	max(x)	10000	1	1.2090989759752e-05	98449.6000000015
vector	max	max(x)	10000	2	1.16641704852764e-05	98449.6000000015
vector	max	max(x)	10000	3	1.13223816131378e-05	98449.6000000015
vector	max	max(x)	10000	4	1.13207143503469e-05	98449.6000000015
vector	max	max(x)	10000	5	1.1339054241047e-05	98449.6000000015
vector	max	max(x)	10000	6	1.1027276099145e-05	98449.6000000015
vector	mean	mean(x)	10000	0	2.05416428415399e-05	94185.6000000015
vector	mean	mean(x)	10000	1	1.97686647114001e-05	94185.6000000015
vector	mean	mean(x)	10000	2	1.86895069323088e-05	94185.6000000015
vector	mean	mean(x)	10000	3	1.84234819914165e-05	94185.6000000015
vector	mean	mean(x)	10000	4	1.83130565442537e-05	94185.6000000015
vector	mean	mean(x)	10000	5	1.80620896188836e-05	94185.6000000015
vector	mean	mean(x)	10000	6	1.80319735878392e-05	94185.6000000015
vector	median	median(x)	10000	0	0.000126139322916667	299564.800000004
vector	median	median(x)	10000	1	0.00011440912882487	299564.800000004
vector	median	median(x)	10000	2	0.000113932291666667	299564.800000004
vector	median	median(x)	10000	3	0.000109529495239258	299564.800000004
vector	median	median(x)	10000	4	0.000112104415893555	299564.800000004
vector	median	median(x)	10000	5	0.000107129414876302	299564.800000004
vector	median	median(x)	10000	6	0.000109990437825521	299564.800000004
vector	sd	sd(x)	10000	0	3.76441261985085e-05	190371.200000003
vector	sd	sd(x)	10000	1	3.54246659712358e-05	190371.200000003
vector	sd	sd(x)	10000	2	3.41632149436257e-05	190371.200000003
vector	sd	sd(x)	10000	3	3.39464707808061e-05	190371.200000003
vector	sd	sd(x)	10000	4	3.33179127086293e-05	190371.200000003
vector	sd	sd(x)	10000	5	3.49044799804688e-05	190371.200000003
vector	sd	sd(x)	10000	6	3.30318104137074e-05	190371.200000003
vector	var	var(x)	10000	0	3.77231174045139e-05	186027.200000003
vector	var	var(x)	10000	1	3.60144509209527e-05	186027.200000003
vector	var	var(x)	10000	2	3.50342856513129e-05	186027.200000003
vector	var	var(x)	10000	3	3.68445007889359e-05	186027.200000003
vector	var	var(x)	10000	4	3.47163942125109e-05	186027.200000003
vector	var	var(x)	10000	5	3.43631815027308e-05	186027.200000003
vector	var	var(x)	10000	6	3.41291780825014e-05	186027.200000003
