figure	function	call	n	run	seconds	bytes	version
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	3	0.000485114	244384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	4	0.000474528	244384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	5	0.000477910	244384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	6	0.000471440	244384	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	0	0.000122580	720496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	1	0.000119783	720496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	2	0.000118944	720496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	3	0.000121759	720496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	4	0.000124040	720496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	5	0.000119706	720496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	30000	6	0.000121948	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	0	0.000113615	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	1	0.000114154	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	2	0.000110757	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	3	0.000112007	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	4	0.000112628	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	5	0.000115202	720496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	30000	6	0.000110941	720496	3.14.2
vector	skew	scipy.stats.skew(x)	30000	0	0.000795304	484201	3.14.2
vector	skew	scipy.stats.skew(x)	30000	1	0.000758079	484201	3.14.2
vector	skew	scipy.stats.skew(x)	30000	2	0.000746581	484201	3.14.2
vector	skew	scipy.stats.skew(x)	30000	3	0.000725198	484201	3.14.2
vector	skew	scipy.stats.skew(x)	30000	4	0.000754692	484201	3.14.2
vector	skew	scipy.stats.skew(x)	30000	5	0.000739288	484201	3.14.2
vector	skew	scipy.stats.skew(x)	30000	6	0.000738141	484201	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	0	0.000772690	484171	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	1	0.000747778	484171	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	2	0.000749835	484171	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	3	0.000750948	484171	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	4	0.000742609	484171	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	5	0.000742426	484171	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	30000	6	0.000750771	484171	3.14.2
vector	sum	np.sum(x)	100000	0	0.000019644	128	3.14.2
vector	sum	np.sum(x)	100000	1	0.000019643	128	3.14.2
vector	sum	np.sum(x)	100000	2	0.000019689	128	3.14.2
vector	sum	np.sum(x)	100000	3	0.000019639	128	3.14.2
vector	sum	np.sum(x)	100000	4	0.000020050	128	3.14.2
vector	sum	np.sum(x)	100000	5	0.000019701	128	3.14.2
vector	sum	np.sum(x)	100000	6	0.000019670	128	3.14.2
vector	min	np.min(x)	100000	0	0.000016335	128	3.14.2
vector	min	np.min(x)	100000	1	0.000016017	128	3.14.2
vector	min	np.min(x)	100000	2	0.000016038	128	3.14.2
vector	min	np.min(x)	100000	3	0.000016223	128	3.14.2
vector	min	np.min(x)	100000	4	0.000016301	128	3.14.2
vector	min	np.min(x)	100000	5	0.000016052	128	3.14.2
vector	min	np.min(x)	100000	6	0.000016049	128	3.14.2
vector	max	np.max(x)	100000	0	0.000016222	128	3.14.2
vector	max	np.max(x)	100000	1	0.000016078	128	3.14.2
vector	max	np.max(x)	100000	2	0.000016170	128	3.14.2
vector	max	np.max(x)	100000	3	0.000016071	128	3.14.2
vector	max	np.max(x)	100000	4	0.000016086	128	3.14.2
vector	max	np.max(x)	100000	5	0.000016142	128	3.14.2
vector	max	np.max(x)	100000	6	0.000016154	128	3.14.2
vector	mean	np.mean(x)	100000	0	0.000020629	152	3.14.2
vector	mean	np.mean(x)	100000	1	0.000020799	152	3.14.2
vector	mean	np.mean(x)	100000	2	0.000021028	152	3.14.2
vector	mean	np.mean(x)	100000	3	0.000020800	152	3.14.2
vector	mean	np.mean(x)	100000	4	0.000020873	152	3.14.2
vector	mean	np.mean(x)	100000	5	0.000020783	152	3.14.2
vector	mean	np.mean(x)	100000	6	0.000020665	152	3.14.2
vector	median	np.median(x)	100000	0	0.000990454	803272	3.14.2
vector	median	np.median(x)	100000	1	0.000973092	803272	3.14.2
vector	median	np.median(x)	100000	2	0.000963721	803272	3.14.2
vector	median	np.median(x)	100000	3	0.000976693	803272	3.14.2
vector	median	np.median(x)	100000	4	0.000969061	803272	3.14.2
vector	median	np.median(x)	100000	5	0.000967583	803272	3.14.2
vector	median	np.median(x)	100000	6	0.000960358	803272	3.14.2
vector	sd	np.std(x, ddof=1)	100000	0	0.000091059	801280	3.14.2
vector	sd	np.std(x, ddof=1)	100000	1	0.000090947	801280	3.14.2
