figure	function	call	n	run	seconds	bytes	language	version
vector	median	median($x)	3000	0	1.37539653034953e-05	20480	Stats::LikeR	0.321
vector	median	median($x)	3000	1	1.28529288552024e-05	20480	Stats::LikeR	0.321
vector	median	median($x)	3000	2	1.21682603782583e-05	20480	Stats::LikeR	0.321
vector	median	median($x)	3000	3	1.21089128347544e-05	20480	Stats::LikeR	0.321
vector	median	median($x)	3000	4	1.20559772411426e-05	20480	Stats::LikeR	0.321
vector	median	median($x)	3000	5	1.29379592575393e-05	20480	Stats::LikeR	0.321
vector	median	median($x)	3000	6	1.220519726093e-05	20480	Stats::LikeR	0.321
vector	sd	sd($x)	3000	0	4.56543195815313e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	3000	1	4.52280044555664e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	3000	2	4.52995300292969e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	3000	3	4.55053079695929e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	3000	4	4.52756881713867e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	3000	5	4.52518463134766e-06	4096	Stats::LikeR	0.321
vector	sd	sd($x)	3000	6	4.53531742095947e-06	4096	Stats::LikeR	0.321
vector	var	var($x)	3000	0	4.53917753128778e-06	0	Stats::LikeR	0.321
vector	var	var($x)	3000	1	4.53562963576544e-06	0	Stats::LikeR	0.321
vector	var	var($x)	3000	2	4.52711468651181e-06	0	Stats::LikeR	0.321
vector	var	var($x)	3000	3	4.52356679098947e-06	0	Stats::LikeR	0.321
vector	var	var($x)	3000	4	4.51028347015381e-06	0	Stats::LikeR	0.321
vector	var	var($x)	3000	5	4.50491905212402e-06	0	Stats::LikeR	0.321
vector	var	var($x)	3000	6	4.51743602752686e-06	0	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	0	2.60225156458413e-05	24576	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	1	1.72370956057594e-05	24576	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	2	1.78006979135367e-05	24576	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	3	1.88507017542104e-05	24576	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	4	2.00975136678727e-05	24576	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	5	2.00477139703159e-05	24576	Stats::LikeR	0.321
vector	quantile	quantile(x => $x, probs => [.25,.5,.75])	3000	6	1.68632816623997e-05	24576	Stats::LikeR	0.321
vector	cor	cor($x, $y)	3000	0	8.79803641897733e-06	45056	Stats::LikeR	0.321
vector	cor	cor($x, $y)	3000	1	8.79406929016113e-06	45056	Stats::LikeR	0.321
